condition,frame,speed_kmh,distance_m,iso,gt_width_mm,crack_px,max_comp_len,detected
crack_d35_ISO400_V60,frame_000045.png,60,3.5,400,0.3,29552,638.0,1
crack_d35_ISO400_V60,frame_000046.png,60,3.5,400,0.3,4587,279.4,1
crack_d35_ISO400_V60,frame_000047.png,60,3.5,400,0.3,136,19.3,0
crack_d35_ISO800_V60,frame_000037.png,60,3.5,800,0.3,7851,299.0,1
crack_d35_ISO800_V60,frame_000038.png,60,3.5,800,0.3,11457,225.0,1
crack_d35_ISO800_V60,frame_000039.png,60,3.5,800,0.3,14369,220.5,1
crack_d35_ISO800_V60,frame_000040.png,60,3.5,800,0.3,17858,468.9,1
crack_d35_ISO800_V60,frame_000041.png,60,3.5,800,0.3,20639,322.4,1
crack_d35_ISO800_V60,frame_000042.png,60,3.5,800,0.3,20862,621.2,1
crack_d35_ISO800_V60,frame_000043.png,60,3.5,800,0.3,16359,814.8,1
crack_d35_ISO800_V60,frame_000044.png,60,3.5,800,0.3,26739,1082.4,1
crack_d35_ISO800_V60,frame_000045.png,60,3.5,800,0.3,28916,780.0,1
crack_d35_ISO800_V60,frame_000046.png,60,3.5,800,0.3,32232,848.1,1
crack_d35_ISO800_V60,frame_000047.png,60,3.5,800,0.3,31184,885.6,1
crack_d35_ISO800_V60,frame_000048.png,60,3.5,800,0.3,21815,751.4,1
crack_d35_ISO800_V60,frame_000049.png,60,3.5,800,0.3,6062,460.0,1
crack_d35_ISO800_V60,frame_000050.png,60,3.5,800,0.3,66,11.7,0
crack_d35_ISO1600_V60,frame_000025.png,60,3.5,1600,0.3,0,0.0,0
crack_d35_ISO1600_V60,frame_000026.png,60,3.5,1600,0.3,0,0.0,0
crack_d35_ISO1600_V60,frame_000027.png,60,3.5,1600,0.3,1495,91.9,1
crack_d35_ISO1600_V60,frame_000028.png,60,3.5,1600,0.3,1762,87.2,1
crack_d35_ISO1600_V60,frame_000029.png,60,3.5,1600,0.3,1638,77.0,1
crack_d35_ISO1600_V60,frame_000030.png,60,3.5,1600,0.3,5185,106.8,1
crack_d35_ISO1600_V60,frame_000031.png,60,3.5,1600,0.3,3735,76.9,1
crack_d35_ISO1600_V60,frame_000032.png,60,3.5,1600,0.3,2299,55.6,1
crack_d35_ISO1600_V60,frame_000033.png,60,3.5,1600,0.3,6185,379.5,1
crack_d35_ISO1600_V60,frame_000034.png,60,3.5,1600,0.3,5751,330.1,1
crack_d35_ISO1600_V60,frame_000035.png,60,3.5,1600,0.3,6473,265.7,1
crack_d35_ISO1600_V60,frame_000036.png,60,3.5,1600,0.3,1473,47.5,1
crack_d35_ISO1600_V60,frame_000037.png,60,3.5,1600,0.3,4384,60.6,1
crack_d35_ISO1600_V60,frame_000038.png,60,3.5,1600,0.3,4906,119.5,1
crack_d35_ISO1600_V60,frame_000039.png,60,3.5,1600,0.3,284,25.2,1
crack_d35_ISO1600_V60,frame_000040.png,60,3.5,1600,0.3,0,0.0,0
crack_d45_ISO100_V60,frame_000032.png,60,4.5,100,0.3,0,0.0,0
crack_d45_ISO100_V60,frame_000033.png,60,4.5,100,0.3,558,47.8,1
crack_d45_ISO100_V60,frame_000034.png,60,4.5,100,0.3,2152,95.2,1
crack_d45_ISO100_V60,frame_000035.png,60,4.5,100,0.3,2167,69.8,1
crack_d45_ISO100_V60,frame_000036.png,60,4.5,100,0.3,2667,104.8,1
crack_d45_ISO100_V60,frame_000037.png,60,4.5,100,0.3,878,37.2,1
crack_d45_ISO100_V60,frame_000038.png,60,4.5,100,0.3,0,0.0,0
crack_d45_ISO100_V60,frame_000039.png,60,4.5,100,0.3,392,19.1,1
crack_d45_ISO100_V60,frame_000040.png,60,4.5,100,0.3,4249,130.4,1
crack_d45_ISO100_V60,frame_000041.png,60,4.5,100,0.3,7046,232.1,1
crack_d45_ISO100_V60,frame_000042.png,60,4.5,100,0.3,6841,250.5,1
crack_d45_ISO100_V60,frame_000043.png,60,4.5,100,0.3,6857,287.2,1
crack_d45_ISO100_V60,frame_000044.png,60,4.5,100,0.3,49,8.6,0
crack_d45_ISO100_V60,frame_000045.png,60,4.5,100,0.3,0,0.0,0
crack_d45_ISO100_V60,frame_000046.png,60,4.5,100,0.3,0,0.0,0
crack_d45_ISO100_V60,frame_000047.png,60,4.5,100,0.3,0,0.0,0
crack_d45_ISO200_V60,frame_000038.png,60,4.5,200,0.3,0,0.0,0
crack_d45_ISO200_V60,frame_000039.png,60,4.5,200,0.3,0,0.0,0
crack_d45_ISO200_V60,frame_000040.png,60,4.5,200,0.3,1031,31.9,1
crack_d45_ISO200_V60,frame_000041.png,60,4.5,200,0.3,2706,51.1,1
crack_d45_ISO200_V60,frame_000042.png,60,4.5,200,0.3,7138,205.9,1
crack_d45_ISO200_V60,frame_000043.png,60,4.5,200,0.3,8082,232.9,1
crack_d45_ISO200_V60,frame_000044.png,60,4.5,200,0.3,7057,119.0,1
crack_d45_ISO200_V60,frame_000045.png,60,4.5,200,0.3,4332,98.4,1
crack_d45_ISO200_V60,frame_000046.png,60,4.5,200,0.3,3386,119.1,1
crack_d45_ISO200_V60,frame_000047.png,60,4.5,200,0.3,6763,196.1,1
crack_d45_ISO200_V60,frame_000048.png,60,4.5,200,0.3,16976,565.1,1
crack_d45_ISO200_V60,frame_000049.png,60,4.5,200,0.3,22779,769.4,1
crack_d45_ISO200_V60,frame_000050.png,60,4.5,200,0.3,21222,702.7,1
crack_d45_ISO200_V60,frame_000051.png,60,4.5,200,0.3,15482,719.3,1
crack_d45_ISO200_V60,frame_000052.png,60,4.5,200,0.3,2006,68.0,1
crack_d45_ISO200_V60,frame_000053.png,60,4.5,200,0.3,0,0.0,0
crack_d45_ISO200_V60,frame_000054.png,60,4.5,200,0.3,0,0.0,0
crack_d45_ISO400_V60,frame_000046.png,60,4.5,400,0.3,0,0.0,0
crack_d45_ISO400_V60,frame_000047.png,60,4.5,400,0.3,2831,159.2,1
crack_d45_ISO400_V60,frame_000048.png,60,4.5,400,0.3,10581,392.1,1
crack_d45_ISO400_V60,frame_000049.png,60,4.5,400,0.3,20091,764.3,1
crack_d45_ISO400_V60,frame_000050.png,60,4.5,400,0.3,26371,728.7,1
crack_d45_ISO400_V60,frame_000051.png,60,4.5,400,0.3,31112,673.8,1
crack_d45_ISO400_V60,frame_000052.png,60,4.5,400,0.3,25204,471.6,1
crack_d45_ISO400_V60,frame_000053.png,60,4.5,400,0.3,15404,357.5,1
crack_d45_ISO400_V60,frame_000054.png,60,4.5,400,0.3,15946,1045.3,1
crack_d45_ISO400_V60,frame_000055.png,60,4.5,400,0.3,25747,1192.9,1
crack_d45_ISO400_V60,frame_000056.png,60,4.5,400,0.3,42600,1244.9,1
crack_d45_ISO400_V60,frame_000057.png,60,4.5,400,0.3,44262,1233.9,1
crack_d45_ISO400_V60,frame_000058.png,60,4.5,400,0.3,38833,1358.3,1
crack_d45_ISO400_V60,frame_000059.png,60,4.5,400,0.3,26450,1179.6,1
crack_d45_ISO400_V60,frame_000060.png,60,4.5,400,0.3,3836,86.8,1
crack_d45_ISO400_V60,frame_000061.png,60,4.5,400,0.3,644,64.8,1
crack_d45_ISO800_V60,frame_000034.png,60,4.5,800,0.3,0,0.0,0
crack_d45_ISO800_V60,frame_000035.png,60,4.5,800,0.3,0,0.0,0
crack_d45_ISO800_V60,frame_000036.png,60,4.5,800,0.3,4289,123.4,1
crack_d45_ISO800_V60,frame_000037.png,60,4.5,800,0.3,10041,365.3,1
crack_d45_ISO800_V60,frame_000038.png,60,4.5,800,0.3,17257,430.8,1
crack_d45_ISO800_V60,frame_000039.png,60,4.5,800,0.3,20290,551.9,1
crack_d45_ISO800_V60,frame_000040.png,60,4.5,800,0.3,23636,491.4,1
crack_d45_ISO800_V60,frame_000041.png,60,4.5,800,0.3,24391,878.5,1
crack_d45_ISO800_V60,frame_000042.png,60,4.5,800,0.3,22232,511.2,1
crack_d45_ISO800_V60,frame_000043.png,60,4.5,800,0.3,23853,1205.4,1
crack_d45_ISO800_V60,frame_000044.png,60,4.5,800,0.3,35670,1185.5,1
crack_d45_ISO800_V60,frame_000045.png,60,4.5,800,0.3,48843,1428.8,1
crack_d45_ISO800_V60,frame_000046.png,60,4.5,800,0.3,41278,1515.3,1
crack_d45_ISO800_V60,frame_000047.png,60,4.5,800,0.3,40412,1215.0,1
crack_d45_ISO800_V60,frame_000048.png,60,4.5,800,0.3,33704,1348.4,1
crack_d45_ISO800_V60,frame_000049.png,60,4.5,800,0.3,7502,503.1,1
crack_d45_ISO800_V60,frame_000050.png,60,4.5,800,0.3,0,0.0,0
crack_d45_ISO1600_V60,frame_000034.png,60,4.5,1600,0.3,0,0.0,0
crack_d45_ISO1600_V60,frame_000035.png,60,4.5,1600,0.3,1031,114.6,1
crack_d45_ISO1600_V60,frame_000036.png,60,4.5,1600,0.3,631,36.7,1
crack_d45_ISO1600_V60,frame_000037.png,60,4.5,1600,0.3,117,23.9,0
crack_d45_ISO1600_V60,frame_000038.png,60,4.5,1600,0.3,1891,96.6,1
crack_d45_ISO1600_V60,frame_000039.png,60,4.5,1600,0.3,1306,104.1,1
crack_d45_ISO1600_V60,frame_000040.png,60,4.5,1600,0.3,1227,25.9,1
crack_d45_ISO1600_V60,frame_000041.png,60,4.5,1600,0.3,1600,48.9,1
crack_d45_ISO1600_V60,frame_000042.png,60,4.5,1600,0.3,5400,202.2,1
crack_d45_ISO1600_V60,frame_000043.png,60,4.5,1600,0.3,4830,177.2,1
crack_d45_ISO1600_V60,frame_000044.png,60,4.5,1600,0.3,7000,225.5,1
crack_d45_ISO1600_V60,frame_000045.png,60,4.5,1600,0.3,9386,200.1,1
crack_d45_ISO1600_V60,frame_000046.png,60,4.5,1600,0.3,5744,188.9,1
crack_d45_ISO1600_V60,frame_000047.png,60,4.5,1600,0.3,7130,440.1,1
crack_d55_ISO100_V60,frame_000024.png,60,5.5,100,0.3,0,0.0,0
crack_d55_ISO100_V60,frame_000025.png,60,5.5,100,0.3,0,0.0,0
crack_d55_ISO100_V60,frame_000026.png,60,5.5,100,0.3,0,0.0,0
crack_d55_ISO100_V60,frame_000027.png,60,5.5,100,0.3,0,0.0,0
crack_d55_ISO100_V60,frame_000028.png,60,5.5,100,0.3,0,0.0,0
crack_d55_ISO100_V60,frame_000029.png,60,5.5,100,0.3,0,0.0,0
crack_d55_ISO100_V60,frame_000030.png,60,5.5,100,0.3,140,22.0,0
crack_d55_ISO100_V60,frame_000031.png,60,5.5,100,0.3,31,7.2,0
crack_d55_ISO100_V60,frame_000032.png,60,5.5,100,0.3,0,0.0,0
crack_d55_ISO100_V60,frame_000033.png,60,5.5,100,0.3,0,0.0,0
crack_d55_ISO100_V60,frame_000034.png,60,5.5,100,0.3,0,0.0,0
crack_d55_ISO100_V60,frame_000035.png,60,5.5,100,0.3,0,0.0,0
crack_d55_ISO100_V60,frame_000036.png,60,5.5,100,0.3,130,17.0,0
crack_d55_ISO100_V60,frame_000037.png,60,5.5,100,0.3,0,0.0,0
crack_d55_ISO100_V60,frame_000038.png,60,5.5,100,0.3,48,11.3,0
crack_d55_ISO100_V60,frame_000039.png,60,5.5,100,0.3,0,0.0,0
