metric,group,width_mm,pod
C_M,low,1.1900000000000002,0.9582599292668117
C_M,low,1.2000000000000002,0.9592473716804675
C_M,low,1.21,0.9602124241435572
C_M,low,1.22,0.9611555488807578
C_M,low,1.23,0.9620772007133525
C_M,low,1.24,0.9629778270731385
C_M,low,1.25,0.963857868022501
C_M,low,1.26,0.9647177562802923
C_M,low,1.27,0.9655579172531724
C_M,low,1.28,0.9663787690720671
C_M,low,1.29,0.9671807226334279
C_M,low,1.3,0.9679641816449762
C_M,low,1.31,0.9687295426756363
C_M,low,1.32,0.9694771952093654
C_M,low,1.33,0.9702075217026084
C_M,low,1.34,0.9709208976451076
C_M,low,1.35,0.9716176916238181
C_M,low,1.36,0.9722982653896801
C_M,low,1.37,0.9729629739270209
C_M,low,1.3800000000000001,0.9736121655253593
C_M,low,1.3900000000000001,0.9742461818534023
C_M,low,1.4000000000000001,0.97486535803503
C_M,low,1.4100000000000001,0.9754700227270777
C_M,low,1.4200000000000002,0.9760604981987254
C_M,low,1.4300000000000002,0.9766371004123261
C_M,low,1.4400000000000002,0.9772001391055012
C_M,low,1.4500000000000002,0.9777499178743457
C_M,low,1.46,0.978286734257594
C_M,low,1.47,0.9788108798216026
C_M,low,1.48,0.9793226402460131
C_M,low,1.49,0.979822295409971
C_M,low,1.5,0.9803101194787764
L_90,high,0.05,0.6598942278965205
L_90,high,0.060000000000000005,0.665166347110374
L_90,high,0.07,0.6703975609953227
L_90,high,0.08,0.6755869065543809
L_90,high,0.09,0.6807334592311851
L_90,high,0.1,0.6858363332465159
L_90,high,0.11,0.6908946818668208
L_90,high,0.12000000000000001,0.6959076976057346
L_90,high,0.13,0.7008746123597622
L_90,high,0.14,0.7057946974794486
L_90,high,0.15000000000000002,0.7106672637775127
L_90,high,0.16,0.7154916614755619
L_90,high,0.16999999999999998,0.720267280091131
L_90,high,0.18,0.7249935482669113
L_90,high,0.19,0.7296699335441407
L_90,high,0.2,0.734295942082221
L_90,high,0.21000000000000002,0.7388711183267204
L_90,high,0.22000000000000003,0.743395044627983
L_90,high,0.22999999999999998,0.747867340812642
L_90,high,0.24,0.7522876637103785
L_90,high,0.25,0.7566557066383117
L_90,high,0.26,0.7609711988454415
L_90,high,0.27,0.7652339049195834
L_90,high,0.28,0.7694436241592492
L_90,high,0.29,0.7736001899129312
L_90,high,0.3,0.7777034688882435
L_90,high,0.31,0.7817533604333551
L_90,high,0.32,0.7857497957931374
L_90,high,0.33,0.7896927373424103
L_90,high,0.33999999999999997,0.7935821777986407
L_90,high,0.35,0.7974181394164068
L_90,high,0.36,0.8012006731658875
L_90,high,0.37,0.8049298578975885
L_90,high,0.38,0.8086057994954563
L_90,high,0.39,0.8122286300204695
L_90,high,0.4,0.8157985068467278
L_90,high,0.41,0.8193156117919941
L_90,high,0.42,0.8227801502445671
L_90,high,0.43,0.8261923502882907
L_90,high,0.44,0.8295524618274261
L_90,high,0.45,0.8328607557130367
L_90,high,0.46,0.8361175228724527
L_90,high,0.47,0.8393230734433027
L_90,high,0.48,0.8424777359135217
L_90,high,0.49,0.8455818562686545
L_90,high,0.5,0.8486357971477042
L_90,high,0.51,0.8516399370086838
L_90,high,0.52,0.8545946693049576
L_90,high,0.53,0.8575004016733738
L_90,high,0.54,0.8603575551351165
L_90,high,0.55,0.8631665633101276
L_90,high,0.56,0.8659278716458755
L_90,high,0.5700000000000001,0.8686419366611724
L_90,high,0.5800000000000001,0.871309225205676
L_90,high,0.5900000000000001,0.8739302137356417
L_90,high,0.6000000000000001,0.87650538760642
L_90,high,0.6100000000000001,0.8790352403821413
L_90,high,0.6200000000000001,0.8815202731629558
L_90,high,0.63,0.8839609939301513
L_90,high,0.64,0.8863579169094015
L_90,high,0.65,0.8887115619523571
L_90,high,0.66,0.8910224539367302
L_90,high,0.67,0.8932911221849827
L_90,high,0.68,0.8955180999016755
L_90,high,0.6900000000000001,0.8977039236295006
L_90,high,0.7000000000000001,0.8998491327239705
L_90,high,0.7100000000000001,0.9019542688467049
L_90,high,0.7200000000000001,0.9040198754772188
L_90,high,0.7300000000000001,0.9060464974430815
L_90,high,0.7400000000000001,0.9080346804682861
L_90,high,0.7500000000000001,0.9099849707396418
L_90,high,0.76,0.9118979144909728
L_90,high,0.77,0.9137740576048844
L_90,high,0.78,0.9156139452318356
L_90,high,0.79,0.9174181214262388
L_90,high,0.8,0.9191871287992835
L_90,high,0.81,0.9209215081881745
L_90,high,0.8200000000000001,0.9226217983414504
L_90,high,0.8300000000000001,0.9242885356200438
L_90,high,0.8400000000000001,0.925922253713729
