speed,iso,dist,C_M,L_90,mtf_h,mtf_v,bew_h,bew_v,sigma_motion,width_mm,detected
60,1600,5.5,0.2544,249.0,0.0958284722222222,0.11463472222222221,5.410486111111112,4.788333333333333,2.518085813304133,0.2,1
60,1600,5.5,0.2544,249.0,0.0958284722222222,0.11463472222222221,5.410486111111112,4.788333333333333,2.518085813304133,0.3,1
60,1600,5.5,0.2544,249.0,0.0958284722222222,0.11463472222222221,5.410486111111112,4.788333333333333,2.518085813304133,0.4,1
60,1600,5.5,0.2544,249.0,0.0958284722222222,0.11463472222222221,5.410486111111112,4.788333333333333,2.518085813304133,0.5,1
60,1600,5.5,0.2544,249.0,0.0958284722222222,0.11463472222222221,5.410486111111112,4.788333333333333,2.518085813304133,0.6,1
60,1600,5.5,0.2544,249.0,0.0958284722222222,0.11463472222222221,5.410486111111112,4.788333333333333,2.518085813304133,0.7,1
60,1600,5.5,0.2544,249.0,0.0958284722222222,0.11463472222222221,5.410486111111112,4.788333333333333,2.518085813304133,0.8,1
60,1600,5.5,0.2544,249.0,0.0958284722222222,0.11463472222222221,5.410486111111112,4.788333333333333,2.518085813304133,0.9,1
60,1600,5.5,0.2544,249.0,0.0958284722222222,0.11463472222222221,5.410486111111112,4.788333333333333,2.518085813304133,1.0,1
60,1600,6.5,0.2597,211.0,0.08513124999999999,0.08232125,6.1422083333333335,6.230958333333334,,0.1,1
60,1600,6.5,0.2597,211.0,0.08513124999999999,0.08232125,6.1422083333333335,6.230958333333334,,0.2,1
60,1600,6.5,0.2597,211.0,0.08513124999999999,0.08232125,6.1422083333333335,6.230958333333334,,0.3,1
60,1600,6.5,0.2597,211.0,0.08513124999999999,0.08232125,6.1422083333333335,6.230958333333334,,0.4,1
60,1600,6.5,0.2597,211.0,0.08513124999999999,0.08232125,6.1422083333333335,6.230958333333334,,0.5,1
60,1600,6.5,0.2597,211.0,0.08513124999999999,0.08232125,6.1422083333333335,6.230958333333334,,0.6,1
60,1600,6.5,0.2597,211.0,0.08513124999999999,0.08232125,6.1422083333333335,6.230958333333334,,0.7,1
60,1600,6.5,0.2597,211.0,0.08513124999999999,0.08232125,6.1422083333333335,6.230958333333334,,0.8,1
60,1600,6.5,0.2597,211.0,0.08513124999999999,0.08232125,6.1422083333333335,6.230958333333334,,0.9,1
60,1600,6.5,0.2597,211.0,0.08513124999999999,0.08232125,6.1422083333333335,6.230958333333334,,1.0,1
60,200,2.5,0.3643,191.0,0.1207322727272727,0.1416136363636363,4.275848484848485,4.0075852272727275,1.4493001064413413,0.1,1
60,200,2.5,0.3643,191.0,0.1207322727272727,0.1416136363636363,4.275848484848485,4.0075852272727275,1.4493001064413413,0.2,1
60,200,2.5,0.3643,191.0,0.1207322727272727,0.1416136363636363,4.275848484848485,4.0075852272727275,1.4493001064413413,0.3,1
60,200,2.5,0.3643,191.0,0.1207322727272727,0.1416136363636363,4.275848484848485,4.0075852272727275,1.4493001064413413,0.4,1
60,200,2.5,0.3643,191.0,0.1207322727272727,0.1416136363636363,4.275848484848485,4.0075852272727275,1.4493001064413413,0.5,1
60,200,2.5,0.3643,191.0,0.1207322727272727,0.1416136363636363,4.275848484848485,4.0075852272727275,1.4493001064413413,0.6,1
60,200,2.5,0.3643,191.0,0.1207322727272727,0.1416136363636363,4.275848484848485,4.0075852272727275,1.4493001064413413,0.7,1
60,200,2.5,0.3643,191.0,0.1207322727272727,0.1416136363636363,4.275848484848485,4.0075852272727275,1.4493001064413413,0.8,1
60,200,2.5,0.3643,191.0,0.1207322727272727,0.1416136363636363,4.275848484848485,4.0075852272727275,1.4493001064413413,0.9,1
60,200,2.5,0.3643,191.0,0.1207322727272727,0.1416136363636363,4.275848484848485,4.0075852272727275,1.4493001064413413,1.0,1
60,200,3.5,0.3116,141.0,0.11574309954751125,0.13845122377622374,4.504185520361991,4.139825174825175,1.7340634826491157,0.1,0
60,200,3.5,0.3116,141.0,0.11574309954751125,0.13845122377622374,4.504185520361991,4.139825174825175,1.7340634826491157,0.2,0
60,200,3.5,0.3116,141.0,0.11574309954751125,0.13845122377622374,4.504185520361991,4.139825174825175,1.7340634826491157,0.3,1
60,200,3.5,0.3116,141.0,0.11574309954751125,0.13845122377622374,4.504185520361991,4.139825174825175,1.7340634826491157,0.4,1
60,200,3.5,0.3116,141.0,0.11574309954751125,0.13845122377622374,4.504185520361991,4.139825174825175,1.7340634826491157,0.5,1
60,200,3.5,0.3116,141.0,0.11574309954751125,0.13845122377622374,4.504185520361991,4.139825174825175,1.7340634826491157,0.6,1
60,200,3.5,0.3116,141.0,0.11574309954751125,0.13845122377622374,4.504185520361991,4.139825174825175,1.7340634826491157,0.7,1
60,200,3.5,0.3116,141.0,0.11574309954751125,0.13845122377622374,4.504185520361991,4.139825174825175,1.7340634826491157,0.8,1
60,200,3.5,0.3116,141.0,0.11574309954751125,0.13845122377622374,4.504185520361991,4.139825174825175,1.7340634826491157,0.9,1
60,200,3.5,0.3116,141.0,0.11574309954751125,0.13845122377622374,4.504185520361991,4.139825174825175,1.7340634826491157,1.0,1
60,200,4.5,0.2899,109.0,0.1090722222222222,0.1232722222222222,4.799722222222222,4.515833333333333,2.344950248228447,0.1,1
60,200,4.5,0.2899,109.0,0.1090722222222222,0.1232722222222222,4.799722222222222,4.515833333333333,2.344950248228447,0.2,1
60,200,4.5,0.2899,109.0,0.1090722222222222,0.1232722222222222,4.799722222222222,4.515833333333333,2.344950248228447,0.3,1
60,200,4.5,0.2899,109.0,0.1090722222222222,0.1232722222222222,4.799722222222222,4.515833333333333,2.344950248228447,0.4,1
60,200,4.5,0.2899,109.0,0.1090722222222222,0.1232722222222222,4.799722222222222,4.515833333333333,2.344950248228447,0.5,1
60,200,4.5,0.2899,109.0,0.1090722222222222,0.1232722222222222,4.799722222222222,4.515833333333333,2.344950248228447,0.6,1
60,200,4.5,0.2899,109.0,0.1090722222222222,0.1232722222222222,4.799722222222222,4.515833333333333,2.344950248228447,0.7,1
60,200,4.5,0.2899,109.0,0.1090722222222222,0.1232722222222222,4.799722222222222,4.515833333333333,2.344950248228447,0.8,1
60,200,4.5,0.2899,109.0,0.1090722222222222,0.1232722222222222,4.799722222222222,4.515833333333333,2.344950248228447,0.9,1
60,200,4.5,0.2899,109.0,0.1090722222222222,0.1232722222222222,4.799722222222222,4.515833333333333,2.344950248228447,1.0,1
60,200,5.5,0.2993,89.0,0.09788043478260865,0.11672041666666666,5.2818764302059495,4.662583333333333,2.4805638293877195,0.1,0
60,200,5.5,0.2993,89.0,0.09788043478260865,0.11672041666666666,5.2818764302059495,4.662583333333333,2.4805638293877195,0.2,0
